tier,col,row,x,y,z,crop
3,5,3,1.9724583333333334,1.505,1.307,green oak
3,5,4,1.9724583333333334,1.6516666666666664,1.307,green oak
3,5,5,1.9724583333333334,1.7983333333333331,1.307,green oak
3,5,6,1.9724583333333334,1.9449999999999998,1.307,green oak
3,6,0,2.1887499999999998,1.065,1.307,green oak
3,6,1,2.1887499999999998,1.2116666666666667,1.307,green oak
3,6,2,2.1887499999999998,1.3583333333333332,1.307,green oak
3,6,3,2.1887499999999998,1.505,1.307,green oak
3,6,4,2.1887499999999998,1.6516666666666664,1.307,green oak
3,6,5,2.1887499999999998,1.7983333333333331,1.307,green oak
3,6,6,2.1887499999999998,1.9449999999999998,1.307,green oak
3,7,0,2.4050416666666665,1.065,1.307,green oak
3,7,1,2.4050416666666665,1.2116666666666667,1.307,green oak
3,7,2,2.4050416666666665,1.3583333333333332,1.307,green oak
3,7,3,2.4050416666666665,1.505,1.307,green oak
3,7,4,2.4050416666666665,1.6516666666666664,1.307,green oak
3,7,5,2.4050416666666665,1.7983333333333331,1.307,green oak
3,7,6,2.4050416666666665,1.9449999999999998,1.307,green oak
3,8,0,2.6213333333333333,1.065,1.307,green oak
3,8,1,2.6213333333333333,1.2116666666666667,1.307,green oak
3,8,2,2.6213333333333333,1.3583333333333332,1.307,green oak
3,8,3,2.6213333333333333,1.505,1.307,green oak
3,8,4,2.6213333333333333,1.6516666666666664,1.307,green oak
3,8,5,2.6213333333333333,1.7983333333333331,1.307,green oak
3,8,6,2.6213333333333333,1.9449999999999998,1.307,green oak
3,9,0,2.837625,1.065,1.307,green oak
3,9,1,2.837625,1.2116666666666667,1.307,green oak
3,9,2,2.837625,1.3583333333333332,1.307,green oak
3,9,3,2.837625,1.505,1.307,green oak
3,9,4,2.837625,1.6516666666666664,1.307,green oak
3,9,5,2.837625,1.7983333333333331,1.307,green oak
3,9,6,2.837625,1.9449999999999998,1.307,green oak
3,10,0,3.053916666666667,1.065,1.307,green oak
3,10,1,3.053916666666667,1.2116666666666667,1.307,green oak
3,10,2,3.053916666666667,1.3583333333333332,1.307,green oak
3,10,3,3.053916666666667,1.505,1.307,green oak
3,10,4,3.053916666666667,1.6516666666666664,1.307,green oak
3,10,5,3.053916666666667,1.7983333333333331,1.307,green oak
3,10,6,3.053916666666667,1.9449999999999998,1.307,green oak
3,11,0,3.270208333333333,1.065,1.307,green oak
3,11,1,3.270208333333333,1.2116666666666667,1.307,green oak
3,11,2,3.270208333333333,1.3583333333333332,1.307,green oak
3,11,3,3.270208333333333,1.505,1.307,green oak
3,11,4,3.270208333333333,1.6516666666666664,1.307,green oak
3,11,5,3.270208333333333,1.7983333333333331,1.307,green oak
3,11,6,3.270208333333333,1.9449999999999998,1.307,green oak
3,12,0,3.4865,1.065,1.307,green oak
3,12,1,3.4865,1.2116666666666667,1.307,green oak
3,12,2,3.4865,1.3583333333333332,1.307,green oak
3,12,3,3.4865,1.505,1.307,green oak
3,12,4,3.4865,1.6516666666666664,1.307,green oak
3,12,5,3.4865,1.7983333333333331,1.307,green oak
3,12,6,3.4865,1.9449999999999998,1.307,green oak
3,13,0,3.7027916666666667,1.065,1.307,green oak
3,13,1,3.7027916666666667,1.2116666666666667,1.307,green oak
3,13,2,3.7027916666666667,1.3583333333333332,1.307,green oak
3,13,3,3.7027916666666667,1.505,1.307,green oak
3,13,4,3.7027916666666667,1.6516666666666664,1.307,green oak
3,13,5,3.7027916666666667,1.7983333333333331,1.307,green oak
3,13,6,3.7027916666666667,1.9449999999999998,1.307,green oak
3,14,0,3.919083333333333,1.065,1.307,green oak
3,14,1,3.919083333333333,1.2116666666666667,1.307,green oak
3,14,2,3.919083333333333,1.3583333333333332,1.307,green oak
3,14,3,3.919083333333333,1.505,1.307,green oak
3,14,4,3.919083333333333,1.6516666666666664,1.307,green oak
3,14,5,3.919083333333333,1.7983333333333331,1.307,green oak
3,14,6,3.919083333333333,1.9449999999999998,1.307,green oak
3,15,0,4.135375,1.065,1.307,red oak
3,15,1,4.135375,1.2116666666666667,1.307,red oak
3,15,2,4.135375,1.3583333333333332,1.307,red oak
